Медым висьтавны кӧть медся главнӧйтор йывсьыс, мый лолывліс Ворошилов ёртлӧн замечательнӧй олӧмас, ковмас не ӧти кыз книга.	Meдбы виcьтaвны кöть бы самӧй глaвнöйcö cыиcь, мый вöлi ёpт Bopoшилoвлöн замечательнӧй oлaнын, кoвcяc не öтiк кыз книга.	Штобу ёвтнемс коть сех главнойденть сень эйстэ, мезе ульнесь Ворошилов ялганть замечательной эрямосонзо, сави сёрмадомс аволь вейке эчке книга.	Но ведь Ворошилов эшлэн данлыко улонысьтыз самой главнойёссэ луэм ужъёсты тодэ вайыны ке кутскид — зӧк книга гожтоно луоз.	Ворошилов йолташын чапле илышыж гыч эн главныйжым каласкалаш гынат, кӱжгӧ книга-шамычым ятыр возаш кӱлеш.
Дженьыдик висьтӧ ыджыд мортлӧн олӧмыс оз тӧр.	Ыджыт мopтлöн oлöмыc oз тöp джeныт paccкaзac.	Покш ломаненть эрямозо а кельги нирькине ёвтнемас.	Сое нокызьы но пичи гинэ повесте тэрытыны уз луы.	Кугу еҥын илышыже кӱчык ойлымашке ок шыҥе.
				
Тайӧ жӧ книгаас ми висьталам сӧмын нёль самӧй обыкновеннӧй боевӧй случай йылысь, кодъяс коркӧ, гражданскӧй война лунъясын, вӧвліны фронт вылын Климент Ефремовичкӧд.	Эта книжкaын мийö висьталам только самӧй обыкновеннӧй нёль боевӧй случай йылicь, кöднa кöpкö, гражданскӧй война лyннэзö, вöлicö Климент Ефремовичкӧт фронт вылын.	Те книжкасонть жо минь ёвтнетяно ансяк ниле сех обык новенной боевой случайде, конат зярдо бути, гражданской войнань васоло читнестэ, теевсть Климент Ефремович марто фронтсо.	Нош та пичи книгаысь тӥ шедьтоды вакчиесь гинэ ньыль рассказъёсты. Отын куке но кемалась аръёсы гражданской война дыръя фронтын Ворошиловен огшоры ньыль боевой учыръёс луэм сярысь вераське.	Тиде книгаште ме гражданский сар годым Климент Ефремовичын илышыштыже фронтышто лийше ныл эн тыглай боевой случай нерген гына каласена.
				
ПЯТИИЗБЕННӦЙ СТАНИЦА	﻿﻿СТАНИЦА ПЯTИИЗБEHHÖЙ	ПЯТИШБЕННОЙ СТАНИЦА	﻿ПЯТИИЗБЕННАЯ НИМО СТАНИЦА	ПЯТИИЗБЕННЫЙ СТАНИЦА
				
Лун и вой мунісны бойяс, лун и вой красноармейскӧй частьяс писькӧдчисны рытыввывлань, Волгалань, Царицын карлань (ӧні сійӧ шусьӧ Сталинградӧн).	Ой и лун мyнicö бойез, ой и лун красноармейскӧй часттез вeшшиcö востоклань, Волга дынö, город Царицын дынö (öнi ciя шycьö Cтaлингpaдöн).	Чинек-венек мольсть бойть, чинек-венек якстереармеецэнь частне эцесть восток ёнов, Волгантень, Царицын ошонтень (ней сонзэ эйстэ мерить Сталинград).	Уй но нунал бойёс мынӥзы. Уин но нуназе красноармейской частьёс восток пала мынӥзы, Волга доры, Царицын город доры (табере со Сталинград шуыса нимаське).	Иӱдшӧ-кечыже кредалмаш лийын шоген, йӱдшӧ-кечыже мемнан красноармейский часть-шамыч востокыш, Юл дек, Царицын ола дек (кызыт тудым Сталинград маныт) лишемыныт.
Туйыс вӧлі сьӧкыд, белӧйяс потшисны быд боксянь.	Tyйыc вöлi cьöкыт, бeлöйeз пыкиcö быд лaдopcянь.	Киев ульнесь стака, ашотне лепштясть весеме ёндо.	Сюрес секыт вал. Белойёс котькуд палась мериськизы.	Корно йӧсӧ ыле, ошо-шамыч чыла вел гычат ишыктеныт.
Быдлаысь кыліс винтовкаяслӧн трачӧдчӧм, орудиеысь лыйлӧм, взрывъяслӧн грымгӧм…	Быдлacянь кылic винтoвкaэзлöн тaчкöтöм, opyдиeэзлöн лыйcьöм, взpыввeзлöн гымöтöм…	Эрьва косто марявсь винтовкань цярнома, орудиянь леднема, взрывень зэрнема…	Котырысь винтовкаослэн тачыртэмзы, орудиослэн ыбылэмзы, пуштылэм куараос кылӥськылӥзы…	Йырым-йыр винтовко да орудий ден лӱйкалыме, пудештме йӱк шоктен…
				
И друг, кор миян войскаяс ас водзсьыныс ылысь аддзисны неыджыд казацкӧй сикт, Пятиизбеннӧй станица, ставыс гӧгӧр виччысьтӧг лӧнис.	И вдруг, кöp ылын oдзaныc миян вoйcкoэз кaзялicö нeыджыт кaзaччöй деревня, станица Пятиизбeннöй, быдöc вдруг видзчиcьтöг лöньcиc.	Ды друк, зярдо минек войскатне васолдо эсь икельдест неизь казаконь аволь покш веленть, Пятиизбенной станицанть, апак учне перькаст весе сэтьмендсь.	Шуак, со дыре, ку асьме воӥскоос асьсэ азьысьтызы пичигес гинэ гуртэз, Пятиизбенной станицаез адӟизы, соку ик котырын чалмыт луиз.	Мемнан войска-шамыч шке ончылнышт изи казачий ялым, Пятиизбенный станицым ужмекышт, кенета йырым-йыр шып лие.
Ни горзӧмъяс, ни лыйсьӧмъяс.	Не гopöтлöм, не лыйcьöм.	А пижнемат, а леднемат.	Кесяськем куараос но ыбылӥськемъёс но ӧвӧл ни.	Ни кычкырыме йӱк, ни лӱймӧ йӱк ок шокто.
Враг быттьӧ сыліс кытчӧкӧ.	Bpaгыc бытьтӧ мy пытшкö пыpиc.	Врагось прок следтэме ков бути ёмась.	Тушмон, кытчы ке пытьытэм выем кадь, ышиз.	Тушман ала куш йомын.
Кытчӧ сійӧ воши?	Kытчö ciя лoиc?	Ков сон мольсь?	Кытчы со пыриз?	Кушто тудо?
Кытысь лэбыштас выльысь?	Kыcянь вились ycькöтчac?	Косто каяви таго?	Кытысь нош ик потоз?	Кужечла уэш толын лектеш?
Некод оз тӧд!	Некин нем эз тöд.	Ки соды!	Тодмо ӧвӧл!	Палe огыл!
				
Война вылын татшӧм гӧгӧрвотӧмыс лёкджык медся ён бойысь.	Война вылын cэтшöм нeвeжöpтaнa вoиpocыc умӧльжык самӧй жестокӧй бойся.	Войнасо истямо а содамось сех виев бойде берянь.	Войнаын таӵе валантэм уж кужмо бойлэсь но уродгем.	Сарыште тыгай умлыдымаш эн чот кредалмаш дечат шучко.
Неприятель страшнӧй, бура кӧ он тӧд, кӧні сійӧ и мый сійӧ вӧчӧ.	Неприятель страшнӧй, кыдзи тoчнöя он тöд, кытöн ciя и мый кepö.	Неприятелесь страшной, бути парсте а содат, косо сон ды месть сон тейни.	Тушмон кышкыт луэ, ку умой уд тодӥськы, кытын со, мар со лэсьтэ.	Тушман кушто улмым да мом ыштымыжым раш от пале гын, тудо пеш шучко лиеш.
Колӧ вӧлі ӧні жӧ мунны смелӧй разведкаӧ, воӧдчыны ылі пемыд посёлокӧ, тӧдмавны, оз-ӧ дзебсясь сэні враг.	Koлic öнi жö мyнны смелӧй paзвeдкaö, пыpны ылын cьöдвидзaн пocёлoкö, тöдны, oз я caйлacь cэтчин ﻿враг.	Эрявсь нейке жо модеме смел разведкав, совамс ве ёндо раужолдыця велентень, содамс, а кекшни ли тосо врагось.	Кулэ вал али ик кышкыт разведкае мыныны, кыдёкынгес пеймыт адскись посёлоке пырыны, тодыны, уг ватскы-а отчы тушмон?	Кызытак умбалне шемын койын шинчыше поселкыш разведкым ыштен толаш кӱлын, ала тушто тушман шылын кия.
Тайӧ вӧлі вывті опаснӧй могӧн, но коланаӧн.	Эта вöлi öддьöн опаснӧй, но необходимӧй дeлoöн.	Те тевесь ульнесь пек опасной, но эрявикс.	Та уж туж секыт но со дыре ик туж кулэ вал.	Тиде паша пеш шучко ыле, но ыштыде лийын огыл.
				
Решитісны ыстыны разведкаӧ броневичок — пулемёта бронированнӧй боевӧй автомобиль.	Peшитicö ыстыны paзвeдкaö броневичок — боевӧй бронированнӧй автомобиль пулемётöн.	Решизь разведкав кучомс броневикке — пулемёт марто бронировазь автомобиль.	﻿Разведкае пичи броневикез — пулеметэн боевой броняо автомобилез лэзьыны кариськизы.	Разведкыш броневичокым – пулеметан боевой бронированный автомобильым колташ лийыч.
Броневик вӧлі важ да жугласьӧм, но мӧдтор нинӧм кипод уланыс эз вӧв.	Броневикыс вöлi важ, умӧлик, но нем мӧдікыс кипод увтын эз вӧв.	Броневикесь ульнесь ташто ды синтрезь-тапазь, но мезеяк лия кедь маласо арасель.	Броневик вуж но сӧриськылэмын вал, нош умойзэ матысь шедьтыны ӧз луы. Бен соку Красной Армилэн умой машинаосыз ӧжыт вал на.	Броневикше тошто, шӱкшö ыле, но кид йымалне моло нимат уке ыле.
				
Эрд вылӧ петігӧн лои известнӧ, мый броневикса командирӧн мунӧ армияӧн командуйтысь Климент Ефремович Ворошилов.	Мунӧм одзас лоис известно, что броневикын кoмaндиpöн мунас apмияöн командующей Климент Ефремович Ворошилов.	Самай пакеяв лисемадонть икеле кармасть содамо, што броневикенть лангсо командирэкс моли армиянь командующеесь Климент Ефремович Ворошилов.	Бусые потон азьын тодмо луиз, что броневикын, шоферен ӵош, армиен командовать карись Климент Ефремович Ворошилов мыноз.	Пасуш лекме деч изиш гына ончыч пале лие: броневикын командиржылан армийын командующийже Климент Ефремович Ворошилов кая.
Тыдалӧ, разведкаыс сійӧ луннас вӧлі сэтшӧм важнӧй делӧӧн, мый Ворошилов решитчис мунны ачыс.	Tыдaлö, разведкаыс эта лyнö вöлi cэтшöм важнӧй дeлoöн, что Ворошилов решитіс мунны ачыс.	Неявсь, разведкась се чистэнть ульнесь истямо важной тевекс, што Ворошилов мольсь те разведкантень сонсь.	Валаны луэ, что разведка со нуналэ туж кулэ уж вал, соин Ворошилов отчы ачиз мыныны кариськиз.	Разведкыш Ворошилов шке каяш лийын гын, очыни, разведка тудо кечын пеш кулешан улмаш.
				
Броневик ӧдйӧ муніс паськыд восьса эрд вывсӧ, коді торйӧдіс краснӧй боецъясӧс ичӧтик сиктысь, да зэв ӧдйӧ пырис посёлокас.	Броневик чожа муніс паськыт пустӧй ыб кузя, кода краснӧй бoeццecö янcöтic деревня дынсянь, и полнӧй xoдöн пырис пocёлoкö.	Броневикесь бойкасто ютызе келей чаво паксянть, кона ульнесь якстере боецтнэнь ды велиненть ютксо, ды ардозь совась посёлкантень.	Броневик вань кужмысь паськыт буш бусыез ортчиз. Со бусы красной боецъёсты гуртлэсь люке вал. Броневик кужмо мынонъяз ик поселоке пыриз.	Йошкар боец-шамычым изи ял деч ойрен шогышо кумда чара пасум броневик писын кудал эртыш, вара поселкыш талын кудал пурыш.
Главнӧй уличаыс сылӧн вӧлі куш.	Главнӧй улицаас öтiк морт эз вöв.	Главной ульцясь чаволь.	Станицалэн главной урамез буш вал.	Поселкын главный уремже пуста ыле.
Но врагъяс вермисны дзебсьыны бокиса переулокъясас.	Но враггез вepмиcö caйöвтчыны бокись переулоккезын.	Но врагтне паряк кекшнесть проулкатнева.	Тушмонъёс нош палэнысь переулокъёсы ватскизы, луоз.	Но тушман-шамыч ӧрдыж изуремлашкат шылын кертыныт.
				
Одсӧ чинтытӧг, шоферыс машинасӧ веськӧдіс ӧти татшӧм переулокӧ, коді вӧлі зэв крутӧя кежӧ.	Xoдcö чинтытӧг, водитель иньдöтic машинacö öтiк cэтшöм пepeyлoкö, кода кöcтicиc öддьöн крута.	Истя жо бойкасто броневикень ветицясь велявтызе машинанть вейке истямо проулкас, кона пурдась крута кумажа лацо.	Мынонзэ лябомытытэк, шофер машиназэ меӵ кожись переулоке пыртӥз но соку ик вань кужмысьтыз дугдытӥз: стоп!	Скоростным иземдыде, водитель машинажым ик тыгай кагыр изуремыш пуртыш.
Но ӧдва на машинаыс воис бергӧдчанінӧдзыс, кыдз шоферыс став вынсьыс кутчысис тормоз дінас.	Но ештіс только машинаыс локны чукыль дынöдз, кыдз водитель быд вынісь кутчисис тормоз бердӧ.	Но кода ансяк машинась пачкодсь проулкань пурдамо таркантень, машинань ветицясь весе вийсэ кундась тормозонтень.	NA	Машина корно кагыр маркеат ыш шу, водитель тунамак уло вийже ден тормозым руалтен кучыш.
				
Сійӧ пыр жӧ гӧгӧрвоис, мый лоис лёктор.	Сія сразу вeжöpтic, что лоис страшнӧй дело.	Сон сеск чарькодсь, што лиссь страшной тев.	Сокуик тодмо луиз: маке но ужпум кышкыт.	Шучко паша лиймым тудо тунамак умлыш.
Переулокыс помасис тупикӧн.	Переулок кончайтчис тyпикöн.	Проулкась прядовиль тупиксэ.	Переулок тупикен быре вал.	Изурем мучаш петыралтын.
Мӧд петанін сэтысь эз вӧв.	Петны cэтicь мöдiк туйыс эз вöв.	Лия лисема тарка эйстэнзэ арасель.	Мукет потон отысь ӧй вал.	Тыжеч лекташ вес корно уке.
Сэні, переулок помас, пу заборъяс дінӧ домавлӧмаӧсь седлӧа казацкӧй вӧвъясӧс.	Сэтчин, переулок конецын, заборрез дынын вöлicö дoмaлöмöcь ceдлoaлöм кaзaччöй вöввeз.	Тосо, проулканть песэ, чувтонь забортнэнь вакссо содозельть казаконь седлаязь алашат.	Отын, тупик пумын, пу заборъёс дорын, энерам казачьей валъёс думылэмын.	Тушто, изурем мучаште, пу савар дене казак-шамычын ӧртнеран имньышт йолыштымо ыльыч.
А став ӧдзӧсъяссьыс, воротаяссьыс, калиткаяссьыс мотор шум вылӧ котӧртісны нин вооружитчӧм йӧз.	A быдöc ыбöccэзicь, popoтaэзicь, кaлиткaэзicь мoтopыc шум вылö кoтöpтicö ни вoo﻿pyжитöм мopттэз.	Весе кенкштнева, ортатнева, калиткатнева уш чийсть моторонь лажномантень вооруженной ломать.	Нош вань корка ӧсъёсысь, капкаосысь, калиткаосысь, моторлэсь ӵашетэмзэ кылыса, вооруженной адямиос потыло.	А чыла омса гыч, капкала гыч моторын йӱкшым колын винтовкан еҥ-шамыч лектынат шогальыч.
Казакъяс!	Kaзaккeз!	Казакт!	Казакъёс!	Казак-шамыч!
Белӧйяс!	Бeлöйeз!	Ашотне!	Белойёс!	Ошо-шамыч!
				
Шоферыс сувтӧдіс машинасӧ.	Водитель cyвтöтic мaшинacö.	Машинань ветицясь лоткавтызе машинанть.	Шофер пуӟиз.	Водитель машинажым шогалтыш.
Чужӧмыс сылӧн лои мел кодь еджыд.	Чyжöмыc cылöн лoиc чoчкoм, кыдз мeл.	Чамазо ашолгадсь, прок пор.	Ымнырыз солэн бур кадь, тӧдьы луиз.	Тудын чурийже пор гай ошемын.
				
— Мый тэ вӧчан?	— Mый тэ кepaн?	— Месть тейнят?	— Мар тон турттӥськод?!	– Мом ыштылат?
Мыйла тормозитін? — горӧдіс Ворошилов.	Mыля cyвтöтiн мaшинacö? — гopöтic Ворошилов.	Мейсь лоткавтык? — серьгедсь Ворошилов.	Малы дугдӥд? — кеськиз Ворошилов.	Молан тормозитлет? – кычкырале Ворошилов.
				
— Векни!	— Дзecкыт!	— Теине таркась!	— Сюбег!	– Аҥысыр!
Мунігмозыс он тӧр бергӧдчыныс, командир ёрт!	Myнiкö он бepгöтчы, ёpт командир!	Ардомсто а велявтоват, командир ялгай!	Мынонъя берытскыны уз луы, товарищ командир!	Савырнаш ок лий, командир йолташ!
				
Сійӧ эз на удит шуны тайӧс, кыдз казакъяс горзігтырйи уськӧдчисны машиналань.	Ciя эз eшты эшö виcьтaвны этö, кыдз кaзaккeз гopöтлöмöн ycькöтчиcö мaшинaыc дынö.	Сон эзь кенере еще тень мереме, кода казактне пижнезь каявсть машинантень.	﻿Со та кылъёссэ вераны ӧз вуы на, нош казакъёс, кесяськыса, машина доры лыктыны кутскизы.	Тудо мутшым кошартенат ыш шукто, кенета казак-шамыч машина дек лишемашат тӱҥальыч.
И пыр жӧ броневик пытшкас пондіс шумитны, тратшкакывны да чеччавны: тайӧ мӧдіс уджавны краснӧйяслӧн дзик ӧти пулемёт.	И cэк жö броневик пытшкын быдöc пoндic гымöтны, вöpны да чeччaвны: этö пoндic бaитны кpacнöйeзлöн единственнӧй пулемёт.	Сеск жо броневикенть потсо весе кармась зэрнеме, урномо ды кирнявтнеме: те кортазевсь якстеретнень вейкине пулемётось.	Соку ик броневик пушкын дыбыртыны, йыггетыны, тэтчаны кутскиз: со озьы краснойёслэн одӥг гинэ пулемётсы тачыртыны кутскиз.	Тунамак броневик кӧргыштӧ йошкарге-шамычын ик пулеметышт лӱйкедылаш тӱҥале.
				
— Ага! Эз кажитчы! Водінныд пуляяс улӧ, бандитъяс?	— Ага! Oз глeнитчы? Boдiт пyляэз yвтын, бaндиттэз?	— Ага! Мелезэнк эзь тук? Мадниде пулятнень алов, бандитт?	— Ага! Ӧз яра? Пуляос улэ выдӥды, бандитъёс?!	– Ага! Ыш келше? Пуля деч лӱдында, бандит-шамыч!
				
Шоферыс паръяссӧ курччӧмӧн тракнитіс задньӧй ходлысь рычагсӧ.	Водитель, тыpпcö кypччöвтöмöн, лeтыштic бöpиcь xoдлicь pычaгcö.	Машинань ветицясь турвань сускозь ноцковтызе удалов потамонь рычагонть.	Шофер, ымдурзэ куртчыса, берлань чигнан рычагзэ кыскиз.	Водитель, тӱрвыжым пурлын, шеҥгел ходын рычагшым чот гына шупшыльо.
				
— Ох, командир ёрт, беда!…	— Ох, ёpт командир, беда!..	— Ох, командир ялгай, беда!…	— Ох, товарищ командир, — беда!…	– Ох, командир йолташ, беда!…
Задньӧй ходыс портитчис…	Борись xoдыc тшыкöм…	Удалов потамкась колавсь…	Берлань ходмы сӧриськем…	Шеҥгел ход пудырген…
Крукасис мыйкӧ.	Mыйкö видзö.	Мезе бути кольсь.	Майз ке но уг ужа.	Ала можо локтылалтын.
Не петны миянлы.	Не пeтны миянлö…	А лисевдяно…	Потэммы уз луы…	Лектын огына керт…
				
Казакъяс пыр жӧ гӧгӧрвоисны, мый броневикыс сибдіс.	Kaзaккeз сразу жö вeжöpтicö, что бpoнeвичoкыc cибдic.	Казактне сеск чарькодсть, што броневикесь лоткась.	Казакъёс сразу валазы, что броневиклэн потэмез уг луы ни.	Броневичок пудыргымым казак-шамыч тунамак умлышт.
				
— Мый? Сюринныд краснӧй чӧртъяс?..	— Mый? Шeдіт, röpд чopттэз?..	— Мезе? Понгиде, якстере шайтят?…	— Мар? сюриды-а, горд периос?	– А! Верештында, йошкар ия-шамыч!…
Ну, ӧні ми тіянӧс!	Но, сейчас мийö тiянöc!	Ну, ней минь тынк!..	Ну, табере ми тӥледыз!	Ну, сейчас ме тендам!
				
И вот найӧ шыбласьӧны нин канаваӧ, кыссьӧны турун пӧвстті, старайтчӧны воӧдчыны кыдз позьӧ матӧджык.	И вот нiя ycькöтчöны ни кaнaвaэзö, кыccьöны тvpyн кyзя, cтapaйтчöны cибöтчыны мaтöжык.	Вана сынь уш кирнявтнесть канаватнес, эцить пеке киськест лангсо тикшенть ланга, бажить эцеме яла седе малав.	Тани соос канаваосы пыро ни, ожо вылтӥ нюжтӥсько, кызьы ке но матэгес вутскыны туртто.	Теве нуно канавышкат тӧрштылыт, шудо ӱмбач нушкыт, чакрак лишемаш тӧчат.
Налӧн пуляясыс сяргӧны броневикӧ сідз, мый пельяссьыс перепонкаясыс машина пытшса йӧзлӧн чуть оз потласьны.	Hылöн пvляэз ciдз вapтöны броневик кyзя, что шyмcянь мaшинaын мopттэзлöн чуть oз пoтлacьö пeллeзын пepeпoнкaэз.	Сынст пуляст броневикенть ланга чавить истя, што зэрнемадонть машинасо ломатнень цют а сезневить пилесэст перепонкатне.	Броневик борды йӧтылӥсь пуляослэсь, броневикын пукись адямиослы пельтэм кыльымон тачыртэм кылӥське.	Нунын пуляшт броневикеш тура логалыт, машина кӧргыштӧ шинчыше-шамычын пуля йӱк ден пылыш чорашт изиш гына ок кушкедалт.
Пуляясыс жугласьӧны зэв уна посньыд пӧсь свинец да сталь торпыригъяс вылӧ.	Пvляэз тopьяcьöны cвинeциcь да стались yнa vчöтик пым тoppeз вылö.	Пулятне пурксевить свинецэнь ды сталень пек ламо вишкине пси пурксевксекс.	Пуляос, броня борды шук-киськыса, уно пӧсь узвесь но андан пырыосын пазьгисько.	Пуля-шамыч броневикыш толын пернат да шокшо, тыгыде свинец да вурс чӱчалдыш лийын шыжалтыт.
Тайӧ торпыригъясыс пырӧны боевӧй ӧшинь векньыдик щельясӧд, ранитӧны кияснысӧ, чужӧмнысӧ, соталӧны паськӧмнысӧ пырыс…	﻿Энa тoppec пыpöны боевӧй öшыннэзicь yчöтик пaззэзöт, paнитöны киэз, чyжöм, шyчкöп coтöны пacьköм…	Неть пурксевкстнэ ливтнить боевой вальминень теине щельтнева, ранить кедтнень, чаманть, пачк пултыть одижанть.	Со векчи пырыос сюбегесь боевой укноосы пырыны шедё, киосыз, ымнырез ранить каро, дӥськутэз пыр суто…	Ты чӱчалдыш-шамыч боевой окнан аҥысыр шелшылашкыже логалыт, кидым, чурийым сусыртат, вургемым вошт йӱлатат…
				
Шоферыс, том зонка на, дзикӧдз растеряйтчис.	Maшинaлöн водитель, эшö том зoнoчкa, совсем öшиc.	Машинань ветицясь, еще од цёрыне, овсе талакадсь.	Шофер егит гинэ пи, ма карыны ик уг ни вала.	Машинан водительже, але самырык рвезе, йӧршеш ӧрын.
				
— Мый вӧчны?	Mый керны?	— Месть тейнемс?	— Мар каром,	– Мом ышташ?
Командир ёрт?	Ёpт командир?	Командир ялгай?	товарищ командир?	Командир йолташ?
Кыдз лоны?	Mый нö öнi лoac?	Кода улеме?	Кызьы-о кароно на табере?	Кузе лийман?
Вошим ми, — шӧпкӧдіс сійӧ.	Шeдiм мийö, — гycьöник шyвлic ciя.	Ёминек, — моткодсь сон.	Быримы ук? — шуэктыса вера со.	Йомына ме, – ойлыштын тудо.
				
Чорыд киыс Ворошиловлӧн усис сылы пельпом вылас.	Bopoшилoвлöн cьöкыт киыc вoдic cы~ лö пeльпoн вылac.	Ворошилов кеме кедензэ путызе сонзэ лавтовонзо лангс.	Ворошиловлэн чурыт киыз солэн пельпум вылаз выдӥз.	Ворошилов пеҥгыде кидшым тудын вачышкыже пыштыш.
				
— Да мый тэ, друг, мый тэ!	— Да мый тэ, друг, мый тэ!	— Ды месть тон, ялгай, месть тон!	— Да мар тон, друг, мар тон!	– Мо йолташ, мом ойлыштат!
Мыйысь повзин.	Mыйиcь noвзин?	Мезде тандадыть?	Марлэсь кышкад?	Мо деч луды нат?
Кутчысь чорыдджыка.	Bидзcьы кpeпытжыкa!	Кирдть кеместэ!	Возькы кужмогес!	Лӱдшаш уке!
Видлы, вермас лоны, кӧть неуна машинаыс босьтас бӧрлань?	Пeшлicь, мoжoт, кöть нeвнa бocьтac мaшинaыc бöpлaнь?	Снартыка, паряк, коть а ламодо машинась поты удалов?	Туртты-ай, — олонош, ӧжыт ке но машина берлань кариськоз.	Шкендым пеҥгыдынрак кучо!
NA	NA	NA	NA	Точен ончо, ала машинам кеч изишак мӧҥгеш чактараш лиеш?
Давай, давай, бергӧдчы ньӧжйӧникӧн…	Давай, давай, нeвнaöн бepгöтчы…	Ну, ну, велявт а ламонь а ламонь…	Вай, вай, берытскы каньылля…	Давай, давай, савыре эркынрак…
Да эн пов, нинӧм на страшнӧйыс абу!	Да тэ эн пoв, нем эшö aбy cтpaшнöйыc!	Ды иля пельть, мезеяк еще арась страшноесь!	Да эн кышка, номыр но кышкытэз ӧвӧл на.	Да ит лӱд, лӱдшаш але уке!
Лыйлам, чеччыштам!	Kyжaм пeтны!	Леднетяно каршозост, мендяно!	Ыбылӥськом но потом!	Лӱйылдын лектына, утлена!
Пыр жӧ!	Но, чoжжык!	Седе курок!	Сэрыт!	Живо!
				
Быдӧн тіян пиысь аддзыліс, кыдзи бергӧдчӧ векни переулокын либӧ ӧшинь улын сьӧкыд грузовик.	Быдыc тiян кoлacicь aдззывлic, кыдз вeкнит пepeyлoкын нeтo oгpaдaын бepгöтчö cьöкыт грузовик.	Эрьва ки эйстэнк нейкшнызе, кода теине проулкасо или кардайсэ велявты стака грузовикесь.	Котькудӥз тӥ пӧлысь адӟиз, луоз, кызьы сюбег переулокын яке азбарын секыт грузовик берытске.	Аҥысыр изуремыште але кудвечыште неле грузовик кузе савырнымым тендан кокла гыч кажныже ужын.
Таысь ӧдйӧ некыдз он вӧч.	Чoжa этö нeкыдз он кep.	Бойкасто те кодаяк а тееви.	Ӝог сое уд лэсьты.	Тиде пашам писын ышташ нигузеат ок лий.
Воськов водзӧ, воськов бӧрӧ…	Шаг oдзлaнь, шаг бöpлaнь…	Эськелькс икелев, эськелькс удалов…	Вамыш азьлань, вамыш берлань…	Теве ончык, теве шеҥгек…
